FilePath,LineNumber,RecieverVaribale,Context,Label
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/PropertiesBean.java,196,java.lang.Class,java.lang.Class isArray  if _class=value.getClass Class<?>,isArray
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,85,java.lang.StringBuilder,java.lang.StringBuilder append append append append append else } } append append,append
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,58,java.lang.String,java.lang.String length - "#000000".substring return 0xffffff) & toHexString String,length
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/TaskManager.java,61,java.util.List,java.util.List size return,size
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/IOUtilities.java,150,java.io.File,java.io.File listFiles isDirectory isFile File[] {  if else length  if long,listFiles
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/PropertiesBean.java,207,java.lang.StringBuilder,java.lang.StringBuilder append append 1) - _len <  if _val.append null return ==  if _str=encode String { _len <  for,append
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/HtmlUtilities.java,144,java.lang.String,java.lang.String length <  for,length
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/TaskManager.java,83,java.util.List,java.util.List contains  if,contains
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/HtmlUtilities.java,129,java.lang.String,java.lang.String ubtring ubtring ubtring get get ize } append,substring
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,464,java.lang.Character,java.lang.Character toLowerCase toLowerCase isDigit isDigit isDigit toLowerCase {  if { else },toLowerCase
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/Log.java,316,java.lang.Object,java.lang.Object getClass _source= else _source= Class) instanceof  if else } } _source=Thread.currentThread,getClass
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,193,java.lang.CharSequence,java.lang.CharSequence length <  for int,length
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/IOUtilities.java,57,java.io.File,java.io.File canWrite &&  || canWrite &&  if boolean,canWrite
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/AwtRunnableQueue.java,142,java.util.LinkedList,java.util.LinkedList peek poll peek poll {  synchronized { != && 0 ==  while,peek
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/Log.java,319,java.lang.String,java.lang.String substring lastIndexOf _source= -1) !=  if lastIndexOf int _source=source.getClass else _source= Class) instanceof  if else },substring
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StringModel.java,24,java.util.LinkedList,java.util.LinkedList add,add
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/IOUtilities.java,148,java.io.File,java.io.File isDirectory isFile  if else length  if long,isDirectory
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,106,java.lang.String,java.lang.String equals  if else Color.magenta return  if else Color.cyan return  if else Color.black return  if else Color.darkGray return  if else,equals
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/PropertiesBean.java,235,java.lang.String,java.lang.String valueOf StringTokenizer StringTokenizer {  if _ret=null Object,valueOf
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,536,java.lang.String,java.lang.String substring startsWith return {  if,substring
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,67,java.lang.String,java.lang.String length || null ==  if,length
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StringList.java,136,java.lang.StringBuilder,java.lang.StringBuilder append append ++i) <  for append StringBuilder StringBuilder { else return 1) ==  if,append
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/PropertiesBean.java,252,java.lang.Character,java.lang.Character class || _class == .TYPE)   _ret=.valueOf _ret= Character.TYPE) == _class || Character.class ==  if else _ret=Boolean.valueOf Boolean.TYPE) == _class || Boolean.class ==  if { else } },valueOf
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/AwtRunnableQueue.java,158,java.lang.Runnable,java.lang.Runnable run { try,run
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StringList.java,149,java.io.PrintStream,java.io.PrintStream println StringList.split String,println
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,716,java.lang.String,java.lang.String equals  if else true return "on".equals || "yes".equals ||  if else  return Boolean) instanceof  if else return ==  if,equals
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,713,java.lang.String,java.lang.String equals ||  if else  return Boolean) instanceof  if else return ==  if,equals
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,75,java.awt.Color,java.awt.Color decode return { try { '#') ==  if trim return 0) == length || null ==  if,decode
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,88,java.lang.String,java.lang.String equals  if else Color.blue return  if else Color.green return  if else Color.red return  if else },equals
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/EnhancedTreeCellRenderer.java,98,javax.swing.JTree,javax.swing.JTree addPropertyChangeListener removePropertyChangeListener getCellRenderer } } removePropertyChangeListener,addPropertyChangeListener
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/IOUtilities.java,103,java.io.InputStream,java.io.InputStream read  !=  while long int,read
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/Log.java,447,java.io.PrintStream,java.io.PrintStream println else println ERROR) ==  if { >=  if } printStackTrace,println
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/ReverseCharSequence.java,57,java.lang.CharSequence,java.lang.CharSequence length int,length
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/PropertiesBean.java,137,java.lang.String,java.lang.String equals  if { _props) : PropertyDescriptor  for _props=getPropertyDescriptors PropertyDescriptor[] { try,equals
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,717,java.lang.String,java.lang.String equals || "no".equals ||  if else true return "on".equals || "yes".equals ||  if else  return Boolean) instanceof  if else return ==  if,equals
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/SyntaxUtilities.java,147,java.lang.String,java.lang.String length tartWith ubtring tartWith ubtring tartWith <  for {  if else } if  {  if else,length
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/StandardUtilities.java,645,java.lang.CharSequence,java.lang.CharSequence length length < +  if char { <  for boolean false return 0) < || 0 < || 0 <  if,charAt
/Users/Jay/Desktop/CMPT470/Assignment_2B/CMPT470-816AssignmentMachineLenaring-master/./data/repository/jEdit/org/gjt/sp/util/IOUtilities.java,184,java.io.Closeable,java.io.Closeable close { try } { IOException  catch },close
